"Olympic Games","Country","Gold","Silver","Bronze","Total"
"1984 Summer","Seychelles",0,0,0,0
"1984 Winter","Russia",29,15,12,56
"1984 Winter","Germany",16,14,11,41
"1984 Winter","Sweden",7,2,21,30
"1984 Winter","Czech Republic",0,24,4,28
"1984 Winter","Finland",4,3,12,19
"1984 Winter","Norway",6,5,4,15
"1984 Winter","USA",4,5,0,9
"1984 Winter","Switzerland",2,2,4,8
"1984 Winter","Canada",2,1,1,4
"1984 Winter","France",0,1,2,3
"1984 Winter","Italy",2,0,0,2
"1984 Winter","UK",2,0,0,2
"1984 Winter","Liechtenstein",0,0,2,2
"1984 Winter","Japan",0,1,0,1
"1984 Winter","Serbia",0,1,0,1
"1984 Winter","Austria",0,0,1,1
"1984 Winter","South Korea",0,0,0,0
"1984 Winter","Costa Rica",0,0,0,0
"1984 Winter","San Marino",0,0,0,0
"1984 Winter","Mexico",0,0,0,0
"1984 Winter","China",0,0,0,0
"1984 Winter","Puerto Rico",0,0,0,0
"1984 Winter","Hungary",0,0,0,0
"1984 Winter","Cyprus",0,0,0,0
"1984 Winter","Iceland",0,0,0,0
"1984 Winter","New Zealand",0,0,0,0
"1984 Winter","Monaco",0,0,0,0
"1984 Winter","Lebanon",0,0,0,0
"1984 Winter","Turkey",0,0,0,0
"1984 Winter","Chile",0,0,0,0
"1984 Winter","Mongolia",0,0,0,0
"1984 Winter","Bulgaria",0,0,0,0
"1984 Winter","Romania",0,0,0,0
"1984 Winter","Morocco",0,0,0,0
"1984 Winter","Greece",0,0,0,0
"1984 Winter","Boliva",0,0,0,0
"1984 Winter","Poland",0,0,0,0
"1984 Winter","Australia",0,0,0,0
"1984 Winter","North Korea",0,0,0,0
"1984 Winter","Taiwan",0,0,0,0
"1984 Winter","Spain",0,0,0,0
"1984 Winter","Senegal",0,0,0,0
"1984 Winter","Argentina",0,0,0,0
"1984 Winter","Netherlands",0,0,0,0
"1984 Winter","Egypt",0,0,0,0
"1984 Winter","Belgium",0,0,0,0
"1984 Winter","Virgin Islands, British",0,0,0,0
"1984 Winter","Andorra",0,0,0,0
"1988 Summer","Russia",134,67,99,300
"1988 Summer","Germany",111,91,94,296
"1988 Summer","USA",87,66,54,207
"1988 Summer","South Korea",28,37,12,77
"1988 Summer","Serbia",15,27,21,63
"1988 Summer","Romania",8,34,16,58
"1988 Summer","UK",22,17,15,54
"1988 Summer","China",6,16,30,52
"1988 Summer","Netherlands",3,6,36,45
"1988 Summer","Hungary",20,9,15,44
"1988 Summer","Bulgaria",10,14,17,41
"1988 Summer","Australia",18,6,11,35
"1988 Summer","France",12,4,13,29
"1988 Summer","Italy",11,10,8,29
"1988 Summer","New Zealand",4,4,16,24
"1988 Summer","Canada",4,5,14,23
"1988 Summer","Brazil",1,17,5,23
"1988 Summer","Norway",2,20,0,22
"1988 Summer","Poland",2,9,10,21
"1988 Summer","Japan",4,3,13,20
"1988 Summer","Sweden",0,5,11,16
"1988 Summer","Argentina",0,1,12,13
"1988 Summer","Peru",0,12,0,12
"1988 Summer","Czech Republic",3,4,3,10
"1988 Summer","Kenya",5,2,2,9
"1988 Summer","Switzerland",0,6,2,8
"1988 Summer","Denmark",3,1,3,7
"1988 Summer","Jamaica",0,7,0,7
"1988 Summer","Spain",1,2,2,5
"1988 Summer","Finland",1,1,2,4
"1988 Summer","Morocco",1,0,2,3
"1988 Summer","Indonesia",0,3,0,3
"1988 Summer","Turkey",1,1,0,2
"1988 Summer","Mexico",0,0,2,2
"1988 Summer","Belgium",0,0,2,2
"1988 Summer","Austria",1,0,0,1
"1988 Summer","Portugal",1,0,0,1
"1988 Summer","Suriname",1,0,0,1
"1988 Summer","Senegal",0,1,0,1
"1988 Summer","Chile",0,1,0,1
"1988 Summer","Virgin Islands, US",0,1,0,1
"1988 Summer","Iran",0,1,0,1
"1988 Summer","Costa Rica",0,1,0,1
"1988 Summer","Curacao",0,1,0,1
"1988 Summer","Philippines",0,0,1,1
"1988 Summer","Djibouti",0,0,1,1
"1988 Summer","Greece",0,0,1,1
"1988 Summer","Colombia",0,0,1,1
"1988 Summer","Mongolia",0,0,1,1
"1988 Summer","Thailand",0,0,1,1
"1988 Summer","Pakistan",0,0,1,1
"1988 Summer","Maldives",0,0,0,0
"1988 Summer","Papua New Guinea",0,0,0,0
"1988 Summer","Myanmar",0,0,0,0
"1988 Summer","Equatorial Guinea",0,0,0,0
"1988 Summer","United Arab Emirates",0,0,0,0
"1988 Summer","Uganda",0,0,0,0
"1988 Summer","Central African Republic",0,0,0,0
"1988 Summer","Bangladesh",0,0,0,0
"1988 Summer","Qatar",0,0,0,0
"1988 Summer","Democratic Republic of the Congo",0,0,0,0
"1988 Summer","Panama",0,0,0,0
"1988 Summer","Cameroon",0,0,0,0
"1988 Summer","Barbados",0,0,0,0
"1988 Summer","Venezuela",0,0,0,0
"1988 Summer","Togo",0,0,0,0
"1988 Summer","Gambia",0,0,0,0
"1988 Summer","Lebanon",0,0,0,0
"1988 Summer","Bahamas",0,0,0,0
"1988 Summer","Gabon",0,0,0,0
"1988 Summer","Trinidad",0,0,0,0
"1988 Summer","Vanuatu",0,0,0,0
"1988 Summer","Niger",0,0,0,0
"1988 Summer","Sri Lanka",0,0,0,0
"1988 Summer","Guatemala",0,0,0,0
"1988 Summer","Republic of Congo",0,0,0,0
"1988 Summer","Andorra",0,0,0,0
"1988 Summer","Algeria",0,0,0,0
"1988 Summer","Guinea",0,0,0,0
"1988 Summer","Ecuador",0,0,0,0
"1988 Summer","Nigeria",0,0,0,0
"1988 Summer","Iraq",0,0,0,0
"1988 Summer","Saint Vincent",0,0,0,0
"1988 Summer","Cyprus",0,0,0,0
"1988 Summer","Tunisia",0,0,0,0
"1988 Summer","Liberia",0,0,0,0
"1988 Summer","Tonga",0,0,0,0
"1988 Summer","Nepal",0,0,0,0
"1988 Summer","Virgin Islands, British",0,0,0,0
"1988 Summer","Swaziland",0,0,0,0
"1988 Summer","Fiji",0,0,0,0
"1988 Summer","Samoa",0,0,0,0
"1988 Summer","American Samoa",0,0,0,0
"1988 Summer","Kuwait",0,0,0,0
"1988 Summer","Mali",0,0,0,0
"1988 Summer","Oman",0,0,0,0
"1988 Summer","Libya",0,0,0,0
"1988 Summer","Jordan",0,0,0,0
"1988 Summer","Paraguay",0,0,0,0
"1988 Summer","Grenada",0,0,0,0
"1988 Summer","Chad",0,0,0,0
"1988 Summer","Botswana",0,0,0,0
"1988 Summer","Haiti",0,0,0,0
"1988 Summer","Somalia",0,0,0,0
"1988 Summer","Solomon Islands",0,0,0,0
"1988 Summer","Lesotho",0,0,0,0
"1988 Summer","Ghana",0,0,0,0
"1988 Summer","Malaysia",0,0,0,0
"1988 Summer","Guam",0,0,0,0
"1988 Summer","Liechtenstein",0,0,0,0
"1988 Summer","Puerto Rico",0,0,0,0
"1988 Summer","Uruguay",0,0,0,0
"1988 Summer","Aruba",0,0,0,0
"1988 Summer","San Marino",0,0,0,0
"1988 Summer","Cook Islands",0,0,0,0
"1988 Summer","Cayman Islands",0,0,0,0
"1988 Summer","Mauritania",0,0,0,0
"1988 Summer","Saudi Arabia",0,0,0,0
"1988 Summer","Bermuda",0,0,0,0
"1988 Summer","El Salvador",0,0,0,0
"1988 Summer","Mauritius",0,0,0,0
"1988 Summer","Tanzania",0,0,0,0
"1988 Summer","Sierra Leone",0,0,0,0
"1988 Summer","Ivory Coast",0,0,0,0
"1988 Summer","Malta",0,0,0,0
"1988 Summer","India",0,0,0,0
"1988 Summer","Guyana",0,0,0,0
"1988 Summer","Bahrain",0,0,0,0
"1988 Summer","Belize",0,0,0,0
"1988 Summer","Monaco",0,0,0,0
"1988 Summer","Israel",0,0,0,0
"1988 Summer","Afghanistan",0,0,0,0
"1988 Summer","Honduras",0,0,0,0
"1988 Summer","Iceland",0,0,0,0
"1988 Summer","Rwanda",0,0,0,0
"1988 Summer","Sudan",0,0,0,0
"1988 Summer","Zimbabwe",0,0,0,0
"1988 Summer","Taiwan",0,0,0,0
"1988 Summer","Mozambique",0,0,0,0
"1988 Summer","Luxembourg",0,0,0,0
"1988 Summer","Boliva",0,0,0,0
"1988 Summer","Egypt",0,0,0,0
"1988 Summer","Syria",0,0,0,0
"1988 Summer","Dominican Republic",0,0,0,0
"1988 Summer","Laos",0,0,0,0
"1988 Summer","Benin",0,0,0,0
"1988 Summer","Bhutan",0,0,0,0
"1988 Summer","Yemen",0,0,0,0
"1988 Summer","Ireland",0,0,0,0
"1988 Summer","Burkina Faso",0,0,0,0
"1988 Summer","Malawi",0,0,0,0
"1988 Summer","Angola",0,0,0,0
"1988 Summer","Antigua",0,0,0,0
"1988 Summer","Zambia",0,0,0,0
"1988 Summer","Vietnam",0,0,0,0
"1988 Winter","Russia",40,14,12,66
"1988 Winter","Germany",14,22,10,46
"1988 Winter","Finland",7,22,5,34
"1988 Winter","Sweden",7,0,23,30
"1988 Winter","Switzerland",8,7,5,20
"1988 Winter","Austria",3,5,4,12
"1988 Winter","Norway",0,6,5,11
"1988 Winter","Italy",2,1,5,8
"1988 Winter","Netherlands",3,2,2,7
"1988 Winter","USA",2,1,4,7
"1988 Winter","Serbia",0,5,1,6
"1988 Winter","Canada",0,2,4,6
"1988 Winter","Czech Republic",0,1,5,6
"1988 Winter","France",1,0,1,2
"1988 Winter","Liechtenstein",0,0,1,1
"1988 Winter","Japan",0,0,1,1
"1988 Winter","Mexico",0,0,0,0
"1988 Winter","Puerto Rico",0,0,0,0
"1988 Winter","Spain",0,0,0,0
"1988 Winter","Denmark",0,0,0,0
"1988 Winter","Belgium",0,0,0,0
"1988 Winter","Morocco",0,0,0,0
"1988 Winter","Turkey",0,0,0,0
"1988 Winter","Guatemala",0,0,0,0
"1988 Winter","Virgin Islands, US",0,0,0,0
"1988 Winter","Fiji",0,0,0,0
"1988 Winter","Taiwan",0,0,0,0
"1988 Winter","Mongolia",0,0,0,0
"1988 Winter","Guam",0,0,0,0
"1988 Winter","Jamaica",0,0,0,0
"1988 Winter","Chile",0,0,0,0
"1988 Winter","South Korea",0,0,0,0
"1988 Winter","Argentina",0,0,0,0
"1988 Winter","Portugal",0,0,0,0
"1988 Winter","Andorra",0,0,0,0
"1988 Winter","Hungary",0,0,0,0
"1988 Winter","Romania",0,0,0,0
"1988 Winter","Iceland",0,0,0,0
"1988 Winter","Costa Rica",0,0,0,0
"1988 Winter","Bulgaria",0,0,0,0
"1988 Winter","Lebanon",0,0,0,0
"1988 Winter","Philippines",0,0,0,0
"1988 Winter","North Korea",0,0,0,0
"1988 Winter","New Zealand",0,0,0,0
"1988 Winter","Curacao",0,0,0,0
"1988 Winter","Luxembourg",0,0,0,0
"1988 Winter","Australia",0,0,0,0
"1988 Winter","Cyprus",0,0,0,0
"1988 Winter","Boliva",0,0,0,0
"1988 Winter","Monaco",0,0,0,0
"1988 Winter","Greece",0,0,0,0
"1988 Winter","India",0,0,0,0
"1988 Winter","Poland",0,0,0,0
"1988 Winter","UK",0,0,0,0
"1988 Winter","China",0,0,0,0
"1988 Winter","San Marino",0,0,0,0
"1992 Summer","USA",89,50,85,224
"1992 Summer","Russia",92,61,67,220
"1992 Summer","Germany",81,57,60,198
"1992 Summer","China",18,45,19,82
"1992 Summer","Spain",48,19,2,69
"1992 Summer","Cuba",42,13,14,69
"1992 Summer","Australia",14,27,16,57
"1992 Summer","France",9,5,43,57
"1992 Summer","Romania",8,31,14,53
"1992 Summer","UK",8,3,39,50
"1992 Summer","South Korea",28,5,16,49
"1992 Summer","Japan",3,8,36,47
"1992 Summer","Poland",5,22,19,46
"1992 Summer","Italy",21,10,14,45
"1992 Summer","Hungary",14,23,8,45
"1992 Summer","Canada",27,5,12,44
"1992 Summer","Sweden",1,27,7,35
"1992 Summer","Netherlands",5,20,8,33
"1992 Summer","Norway",2,20,1,23
"1992 Summer","Taiwan",0,20,0,20
"1992 Summer","Ghana",0,0,20,20
"1992 Summer","Bulgaria",3,7,7,17
"1992 Summer","Pakistan",0,0,16,16
"1992 Summer","New Zealand",1,9,5,15
"1992 Summer","Croatia",0,12,3,15
"1992 Summer","Brazil",13,1,0,14
"1992 Summer","Denmark",3,2,9,14
"1992 Summer","Lithuania",1,0,12,13
"1992 Summer","Nigeria",0,7,4,11
"1992 Summer","North Korea",4,0,6,10
"1992 Summer","Czech Republic",4,3,1,8
"1992 Summer","Kenya",2,4,2,8
"1992 Summer","Finland",1,4,2,7
"1992 Summer","Indonesia",2,3,1,6
"1992 Summer","Turkey",2,2,2,6
"1992 Summer","Austria",0,6,0,6
"1992 Summer","Slovenia",0,0,6,6
"1992 Summer","Jamaica",0,3,1,4
"1992 Summer","Morocco",1,1,1,3
"1992 Summer","Ethiopia",1,0,2,3
"1992 Summer","Estonia",1,0,2,3
"1992 Summer","South Africa",0,3,0,3
"1992 Summer","Latvia",0,2,1,3
"1992 Summer","Individual Olympic Athletes",0,1,2,3
"1992 Summer","Belgium",0,1,2,3
"1992 Summer","Iran",0,1,2,3
"1992 Summer","Greece",2,0,0,2
"1992 Summer","Ireland",1,1,0,2
"1992 Summer","Algeria",1,0,1,2
"1992 Summer","Namibia",0,2,0,2
"1992 Summer","Israel",0,1,1,2
"1992 Summer","Argentina",0,0,2,2
"1992 Summer","Malaysia",0,0,2,2
"1992 Summer","Mongolia",0,0,2,2
"1992 Summer","Switzerland",1,0,0,1
"1992 Summer","Mexico",0,1,0,1
"1992 Summer","Peru",0,1,0,1
"1992 Summer","Philippines",0,0,1,1
"1992 Summer","Thailand",0,0,1,1
"1992 Summer","Puerto Rico",0,0,1,1
"1992 Summer","Qatar",0,0,1,1
"1992 Summer","Bahamas",0,0,1,1
"1992 Summer","Colombia",0,0,1,1
"1992 Summer","Suriname",0,0,1,1
"1992 Summer","Sierra Leone",0,0,0,0
"1992 Summer","Mozambique",0,0,0,0
"1992 Summer","Equatorial Guinea",0,0,0,0
"1992 Summer","Burkina Faso",0,0,0,0
"1992 Summer","Bhutan",0,0,0,0
"1992 Summer","Saudi Arabia",0,0,0,0
"1992 Summer","Sri Lanka",0,0,0,0
"1992 Summer","Bosnia and Herzegovina",0,0,0,0
"1992 Summer","Zimbabwe",0,0,0,0
"1992 Summer","Bermuda",0,0,0,0
"1992 Summer","Luxembourg",0,0,0,0
"1992 Summer","Chile",0,0,0,0
"1992 Summer","American Samoa",0,0,0,0
"1992 Summer","Madagascar",0,0,0,0
"1992 Summer","Djibouti",0,0,0,0
"1992 Summer","Curacao",0,0,0,0
"1992 Summer","Gambia",0,0,0,0
"1992 Summer","Papua New Guinea",0,0,0,0
"1992 Summer","Bangladesh",0,0,0,0
"1992 Summer","Solomon Islands",0,0,0,0
"1992 Summer","Seychelles",0,0,0,0
"1992 Summer","Dominican Republic",0,0,0,0
"1992 Summer","Senegal",0,0,0,0
"1992 Summer","Sudan",0,0,0,0
"1992 Summer","Malawi",0,0,0,0
"1992 Summer","Bahrain",0,0,0,0
"1992 Summer","Uruguay",0,0,0,0
"1992 Summer","Cayman Islands",0,0,0,0
"1992 Summer","San Marino",0,0,0,0
"1992 Summer","Antigua",0,0,0,0
"1992 Summer","Mali",0,0,0,0
"1992 Summer","Venezuela",0,0,0,0
"1992 Summer","Maldives",0,0,0,0
"1992 Summer","Honduras",0,0,0,0
"1992 Summer","Liechtenstein",0,0,0,0
"1992 Summer","Monaco",0,0,0,0
"1992 Summer","Yemen",0,0,0,0
"1992 Summer","Rwanda",0,0,0,0
"1992 Summer","Virgin Islands, US",0,0,0,0
"1992 Summer","Uganda",0,0,0,0
"1992 Summer","Andorra",0,0,0,0
"1992 Summer","United Arab Emirates",0,0,0,0
"1992 Summer","Lebanon",0,0,0,0
"1992 Summer","Guatemala",0,0,0,0
"1992 Summer","Cyprus",0,0,0,0
"1992 Summer","Albania",0,0,0,0
"1992 Summer","Virgin Islands, British",0,0,0,0
"1992 Summer","Nepal",0,0,0,0
"1992 Summer","Iraq",0,0,0,0
"1992 Summer","Guam",0,0,0,0
"1992 Summer","Saint Vincent",0,0,0,0
"1992 Summer","Samoa",0,0,0,0
"1992 Summer","Republic of Congo",0,0,0,0
"1992 Summer","Ecuador",0,0,0,0
"1992 Summer","Laos",0,0,0,0
"1992 Summer","Cook Islands",0,0,0,0
"1992 Summer","Botswana",0,0,0,0
"1992 Summer","Guyana",0,0,0,0
"1992 Summer","Ivory Coast",0,0,0,0
"1992 Summer","Tanzania",0,0,0,0
"1992 Summer","Vanuatu",0,0,0,0
"1992 Summer","Chad",0,0,0,0
"1992 Summer","Portugal",0,0,0,0
"1992 Summer","Myanmar",0,0,0,0
"1992 Summer","Barbados",0,0,0,0
"1992 Summer","Costa Rica",0,0,0,0
"1992 Summer","Guinea",0,0,0,0
"1992 Summer","Malta",0,0,0,0
"1992 Summer","Mauritius",0,0,0,0
"1992 Summer","El Salvador",0,0,0,0
"1992 Summer","Libya",0,0,0,0
"1992 Summer","Grenada",0,0,0,0
"1992 Summer","Togo",0,0,0,0
"1992 Summer","Mauritania",0,0,0,0
"1992 Summer","Angola",0,0,0,0
"1992 Summer","Haiti",0,0,0,0
"1992 Summer","Central African Republic",0,0,0,0
"1992 Summer","Kuwait",0,0,0,0
"1992 Summer","India",0,0,0,0
"1992 Summer","Iceland",0,0,0,0
"1992 Summer","Tunisia",0,0,0,0
"1992 Summer","Niger",0,0,0,0
"1992 Summer","Zambia",0,0,0,0
"1992 Summer","Jordan",0,0,0,0
"1992 Summer","Oman",0,0,0,0
"1992 Summer","Cameroon",0,0,0,0
"1992 Summer","Swaziland",0,0,0,0
"1992 Summer","Vietnam",0,0,0,0
"1992 Summer","Tonga",0,0,0,0
"1992 Summer","Egypt",0,0,0,0
"1992 Summer","Gabon",0,0,0,0
"1992 Summer","Paraguay",0,0,0,0
"1992 Summer","Boliva",0,0,0,0
"1992 Summer","Trinidad",0,0,0,0
"1992 Summer","Belize",0,0,0,0
"1992 Summer","Aruba",0,0,0,0
"1992 Summer","Panama",0,0,0,0
"1992 Summer","Democratic Republic of the Congo",0,0,0,0
"1992 Summer","Fiji",0,0,0,0
"1992 Summer","Lesotho",0,0,0,0
"1992 Summer","Syria",0,0,0,0
"1992 Summer","Benin",0,0,0,0
"1992 Summer","Nicaragua",0,0,0,0
"1992 Winter","Russia",35,10,14,59
"1992 Winter","Germany",14,17,7,38
"1992 Winter","Canada",5,28,3,36
"1992 Winter","Austria",9,10,10,29
"1992 Winter","Czech Republic",0,0,27,27
"1992 Winter","Norway",9,10,5,24
"1992 Winter","Italy",4,9,8,21
"1992 Winter","USA",5,7,2,14
"1992 Winter","Finland",6,1,6,13
"1992 Winter","France",5,6,1,12
"1992 Winter","Japan",3,2,7,12
"1992 Winter","South Korea",5,1,1,7
"1992 Winter","Switzerland",2,0,5,7
"1992 Winter","Sweden",1,0,6,7
"1992 Winter","Netherlands",1,1,2,4
"1992 Winter","China",0,3,0,3
"1992 Winter","Luxembourg",0,2,0,2
"1992 Winter","New Zealand",0,1,0,1
"1992 Winter","Spain",0,0,1,1
"1992 Winter","North Korea",0,0,1,1
"1992 Winter","Taiwan",0,0,0,0
"1992 Winter","Australia",0,0,0,0
"1992 Winter","Bulgaria",0,0,0,0
"1992 Winter","Ireland",0,0,0,0
"1992 Winter","Turkey",0,0,0,0
"1992 Winter","Monaco",0,0,0,0
"1992 Winter","Puerto Rico",0,0,0,0
"1992 Winter","Andorra",0,0,0,0
"1992 Winter","Jamaica",0,0,0,0
"1992 Winter","San Marino",0,0,0,0
"1992 Winter","Liechtenstein",0,0,0,0
"1992 Winter","Iceland",0,0,0,0
"1992 Winter","Curacao",0,0,0,0
"1992 Winter","UK",0,0,0,0
"1992 Winter","Argentina",0,0,0,0
"1992 Winter","Boliva",0,0,0,0
"1992 Winter","Estonia",0,0,0,0
"1992 Winter","Philippines",0,0,0,0
"1992 Winter","Lebanon",0,0,0,0
"1992 Winter","Croatia",0,0,0,0
"1992 Winter","Poland",0,0,0,0
"1992 Winter","Lithuania",0,0,0,0
"1992 Winter","Senegal",0,0,0,0
"1992 Winter","Cyprus",0,0,0,0
"1992 Winter","India",0,0,0,0
"1992 Winter","Greece",0,0,0,0
"1992 Winter","Slovenia",0,0,0,0
"1992 Winter","Virgin Islands, US",0,0,0,0
"1992 Winter","Romania",0,0,0,0
"1992 Winter","Swaziland",0,0,0,0
"1992 Winter","Brazil",0,0,0,0
"1992 Winter","Mexico",0,0,0,0
"1992 Winter","Honduras",0,0,0,0
"1992 Winter","Hungary",0,0,0,0
"1992 Winter","Algeria",0,0,0,0
"1992 Winter","Mongolia",0,0,0,0
"1992 Winter","Costa Rica",0,0,0,0
"1992 Winter","Chile",0,0,0,0
"1992 Winter","Belgium",0,0,0,0
"1992 Winter","Bermuda",0,0,0,0
"1992 Winter","Latvia",0,0,0,0
"1992 Winter","Morocco",0,0,0,0
"1992 Winter","Denmark",0,0,0,0
"1992 Winter","Serbia",0,0,0,0
"1994 Winter","Germany",18,10,12,40
"1994 Winter","Canada",3,29,5,37
"1994 Winter","Russia",19,13,4,36
"1994 Winter","Italy",14,6,12,32
"1994 Winter","Norway",8,17,5,30
"1994 Winter","Finland",0,1,29,30
"1994 Winter","Sweden",23,1,0,24
"1994 Winter","USA",6,8,5,19
"1994 Winter","Switzerland",4,8,4,16
"1994 Winter","Austria",2,3,7,12
"1994 Winter","France",0,1,10,11
"1994 Winter","Japan",3,5,2,10
"1994 Winter","South Korea",7,1,1,9
"1994 Winter","Netherlands",0,1,3,4
"1994 Winter","Australia",0,0,4,4
"1994 Winter","Kazakhstan",1,2,0,3
"1994 Winter","China",0,1,2,3
"1994 Winter","UK",0,0,3,3
"1994 Winter","Slovenia",0,0,3,3
"1994 Winter","Ukraine",1,0,1,2
"1994 Winter","Belarus",0,2,0,2
"1994 Winter","Uzbekistan",1,0,0,1
"1994 Winter","Turkey",0,0,0,0
"1994 Winter","Bulgaria",0,0,0,0
"1994 Winter","Czech Republic",0,0,0,0
"1994 Winter","Latvia",0,0,0,0
"1994 Winter","Kyrgyzstan",0,0,0,0
"1994 Winter","Bosnia and Herzegovina",0,0,0,0
"1994 Winter","Israel",0,0,0,0
"1994 Winter","Poland",0,0,0,0
"1994 Winter","Greece",0,0,0,0
"1994 Winter","Bermuda",0,0,0,0
"1994 Winter","Belgium",0,0,0,0
"1994 Winter","Chile",0,0,0,0
"1994 Winter","Mongolia",0,0,0,0
"1994 Winter","Brazil",0,0,0,0
"1994 Winter","Georgia",0,0,0,0
"1994 Winter","Virgin Islands, US",0,0,0,0
"1994 Winter","American Samoa",0,0,0,0
"1994 Winter","Romania",0,0,0,0
"1994 Winter","Croatia",0,0,0,0
"1994 Winter","Lithuania",0,0,0,0
"1994 Winter","Senegal",0,0,0,0
"1994 Winter","Trinidad",0,0,0,0
"1994 Winter","Mexico",0,0,0,0
"1994 Winter","Denmark",0,0,0,0
"1994 Winter","Hungary",0,0,0,0
"1994 Winter","Taiwan",0,0,0,0
"1994 Winter","South Africa",0,0,0,0
"1994 Winter","Estonia",0,0,0,0
"1994 Winter","Iceland",0,0,0,0
"1994 Winter","Liechtenstein",0,0,0,0
"1994 Winter","Moldova",0,0,0,0
"1994 Winter","New Zealand",0,0,0,0
"1994 Winter","Luxembourg",0,0,0,0
"1994 Winter","Monaco",0,0,0,0
"1994 Winter","Portugal",0,0,0,0
"1994 Winter","Fiji",0,0,0,0
"1994 Winter","Jamaica",0,0,0,0
"1994 Winter","Argentina",0,0,0,0
"1994 Winter","Andorra",0,0,0,0
"1994 Winter","Cyprus",0,0,0,0
"1994 Winter","Spain",0,0,0,0
"1994 Winter","Puerto Rico",0,0,0,0
"1994 Winter","Slovakia",0,0,0,0
"1994 Winter","Armenia",0,0,0,0
"1994 Winter","San Marino",0,0,0,0
"1996 Summer","USA",159,48,52,259
"1996 Summer","Australia",32,16,84,132
"1996 Summer","Germany",42,35,47,124
"1996 Summer","Russia",36,45,34,115
"1996 Summer","China",20,70,17,107
"1996 Summer","Netherlands",38,9,26,73
"1996 Summer","Italy",19,24,28,71
"1996 Summer","Spain",23,21,22,66
"1996 Summer","South Korea",10,49,7,66
"1996 Summer","Brazil",5,15,43,63
"1996 Summer","Cuba",37,8,10,55
"1996 Summer","France",21,10,20,51
"1996 Summer","Canada",8,30,12,50
"1996 Summer","Hungary",8,9,26,43
"1996 Summer","Japan",3,26,13,42
"1996 Summer","Romania",13,10,15,38
"1996 Summer","Ukraine",10,5,19,34
"1996 Summer","Sweden",3,23,5,31
"1996 Summer","Croatia",16,12,0,28
"1996 Summer","UK",2,15,9,26
"1996 Summer","Serbia",1,12,13,26
"1996 Summer","Nigeria",17,4,3,24
"1996 Summer","Denmark",21,1,1,23
"1996 Summer","Norway",2,3,18,23
"1996 Summer","Belarus",1,6,16,23
"1996 Summer","Poland",7,8,7,22
"1996 Summer","Bulgaria",3,12,6,21
"1996 Summer","Argentina",0,19,1,20
"1996 Summer","Jamaica",1,3,12,16
"1996 Summer","Czech Republic",4,5,4,13
"1996 Summer","Switzerland",5,6,0,11
"1996 Summer","Kazakhstan",3,4,4,11
"1996 Summer","Lithuania",0,0,11,11
"1996 Summer","New Zealand",3,2,4,9
"1996 Summer","Greece",4,4,0,8
"1996 Summer","Kenya",1,4,3,8
"1996 Summer","Turkey",4,1,1,6
"1996 Summer","Belgium",2,2,2,6
"1996 Summer","Indonesia",2,1,3,6
"1996 Summer","South Africa",3,1,1,5
"1996 Summer","North Korea",2,1,2,5
"1996 Summer","Bahamas",0,5,0,5
"1996 Summer","Ireland",3,0,1,4
"1996 Summer","Finland",1,2,1,4
"1996 Summer","Ethiopia",2,0,1,3
"1996 Summer","Algeria",2,0,1,3
"1996 Summer","Slovakia",1,1,1,3
"1996 Summer","Iran",1,1,1,3
"1996 Summer","Portugal",1,0,2,3
"1996 Summer","Moldova",0,2,1,3
"1996 Summer","Malaysia",0,2,1,3
"1996 Summer","Austria",0,1,2,3
"1996 Summer","Armenia",1,1,0,2
"1996 Summer","Thailand",1,0,1,2
"1996 Summer","Slovenia",0,2,0,2
"1996 Summer","Namibia",0,2,0,2
"1996 Summer","Uzbekistan",0,1,1,2
"1996 Summer","Georgia",0,0,2,2
"1996 Summer","Morocco",0,0,2,2
"1996 Summer","Trinidad",0,0,2,2
"1996 Summer","Ecuador",1,0,0,1
"1996 Summer","Costa Rica",1,0,0,1
"1996 Summer","Burundi",1,0,0,1
"1996 Summer","Syria",1,0,0,1
"1996 Summer","Latvia",0,1,0,1
"1996 Summer","Taiwan",0,1,0,1
"1996 Summer","Zambia",0,1,0,1
"1996 Summer","Philippines",0,1,0,1
"1996 Summer","Tonga",0,1,0,1
"1996 Summer","Azerbaijan",0,1,0,1
"1996 Summer","Mongolia",0,0,1,1
"1996 Summer","Mozambique",0,0,1,1
"1996 Summer","Mexico",0,0,1,1
"1996 Summer","Tunisia",0,0,1,1
"1996 Summer","Puerto Rico",0,0,1,1
"1996 Summer","India",0,0,1,1
"1996 Summer","Uganda",0,0,1,1
"1996 Summer","Israel",0,0,1,1
"1996 Summer","Republic of Congo",0,0,0,0
"1996 Summer","Belize",0,0,0,0
"1996 Summer","Tajikistan",0,0,0,0
"1996 Summer","Lebanon",0,0,0,0
"1996 Summer","Luxembourg",0,0,0,0
"1996 Summer","Cameroon",0,0,0,0
"1996 Summer","Papua New Guinea",0,0,0,0
"1996 Summer","San Marino",0,0,0,0
"1996 Summer","Virgin Islands, US",0,0,0,0
"1996 Summer","Lesotho",0,0,0,0
"1996 Summer","Qatar",0,0,0,0
"1996 Summer","American Samoa",0,0,0,0
"1996 Summer","Pakistan",0,0,0,0
"1996 Summer","Benin",0,0,0,0
"1996 Summer","Honduras",0,0,0,0
"1996 Summer","Nauru",0,0,0,0
"1996 Summer","Bhutan",0,0,0,0
